Marca temporal,Curso,Opinión General Sobre el Curso,¿Aprobó la Cursada?,¿Cómo te Resultaron los Temas de la Materia?,¿Los Temas de la Materia Están Actualizados?,Nivel de las Clases Teóricas del Curso,Nivel de las Clases Prácticas del Curso,Dificultad del Curso,Dificultad del TP,Comentarios Sobre el Curso,¿Tenes algun comentario o sugerencia sobre la cursada virtual de este cuatrimestre?
8/26/2020 18:08:56,Teoria de la Programacion / Teoria del Lenguaje - Ferrigno,Excelente,Si,Muy Interesantes,Si,Excelentes,No Hay Clases Practicas,Normal,Dificil,Me parecio una excelente propuesta la del tp.,Que se repita la presentacion por videos. Es muy entretenida.
8/26/2020 18:11:19,Teoria de la Programacion / Teoria del Lenguaje - Ferrigno,Muy Bueno,Si,Interesantes,Si,Excelentes,Excelentes,Normal,Normal,,
8/26/2020 18:11:45,Algoritmos y Programacion I (Informatica) - Essaya,Excelente,Si,Muy Interesantes,Si,Excelentes,Excelentes,Normal,Dificil,"El mejor  curso de algoritmos que existe, ojala pudiera cursar las demas materias de algo y programacion con Diego y los ayudantes, son lo mejor!",
8/26/2020 18:13:56,Algoritmos y Programacion I - Mendez,Excelente,Si,Muy Interesantes,Si,Excelentes,Excelentes,Normal,Dificil,Curso excelente. Super recomendable,
8/26/2020 18:16:12,Algoritmos y Programacion I (Electronica) - Essaya,Excelente,Si,Muy Interesantes,Si,Excelentes,Buenas,Normal,Dificil,"Excelente curso, realmente se adaptaron a la modalidad de cursada a distancia y en mi opinion me resulto mejor que cursarla de manera presencial.",
8/26/2020 18:17:42,Teoria de la Programacion / Teoria del Lenguaje - Ferrigno,Excelente,Si,Muy Interesantes,Si,Buenas,Muy Buenas,Normal,Normal,Muy interesante !!!,La pilotearon bastante bien! Al principio se notaban incomodos pero despues ya no!
8/26/2020 18:20:37,Algoritmos y Programacion I (Informatica) - Essaya,Excelente,Si,Muy Interesantes,Si,Excelentes,Excelentes,Dificil,Dificil,Muy buenas las clases y las expliciones tanto las teoricas como las practicas(Alan).,"Estuvo muy buena la cursada, bastante organizada."
8/26/2020 18:30:55,Teoria de la Programacion / Teoria del Lenguaje - Ferrigno,Muy Bueno,Si,Interesantes,Si,Muy Buenas,Muy Buenas,Normal,Normal,Muy buena onda de los profes genera un buen ambiente asi que eso se agradece,
8/26/2020 18:34:35,Lenguajes de Formales - Corsi,Bueno,Si,Interesantes,Si,Buenas,Muy Buenas,Normal,Normal,"En general buena onda de los profes, eso se agradece","Capaz las clases teoricas se hacian tediosas siendo que solo consistian en leer el pdf y recien uno terminaba de entender mejor lo que se explicaba una vez que hacia algo practico (algo que solamente algunas veces paso en las teoricas), al menos eso me parecio a mi. El resto todo ok"
8/26/2020 18:34:35,Teoria de la Programacion / Teoria del Lenguaje - Ferrigno,Muy Bueno,Si,Interesantes,Si,Muy Buenas,No Hay Clases Practicas,Normal,Normal,,
8/26/2020 18:35:15,Analisis Numerico I/Metodos Matematicos y Numericos - Sassano,Muy Bueno,Si,Muy Interesantes,Si,Buenas,Buenas,Normal,Normal,,
8/26/2020 18:35:59,Taller de Programacion I - Azcurra,Malo,Si,Muy Interesantes,Si,Regulares,Malas,Normal,Normal,"Las clases teoricas son pocas y solo actuan como introducciones generales a los temas, lo cual es una lastima porque merecen verse en mayor profundidad.

En el resto de las ""clases"" los alumnos pueden hacer preguntas sobre el enunciado del TP. El verdadero problema del curso se encuentra en estas clases, porque la catedra tiene un sistema de FAQs donde cada pregunta debe subirse al campus de forma previa a la clase (en caso contrario no la responden), y la respuesta debe respetarse por todos los grupos.
Esto resulta en un enunciado que cambia constantemente porque cambian los requerimientos segun las respuestas a las preguntas, y en clases de consulta que desmotiva aclarar dudas. Para un curso basado en el desarrollo de un trabajo, esta modalidad le agrega una complejidad innecesaria y frustrante.

Tambien vale mencionar el caracter agresivo equipo docente, en particular Gustavo Bianchi. Resulta evidente en todas las clases cuando un alumno tarda un poco en responder, o hace una pregunta sin subirla al campus, etc.

En definitiva es una perdida cursar en esta catedra por la modalidad de cursada y la poca voluntad de los docentes. Sera mas ""facil"" que cursar con Veiga, pero la cursada no es agradable y tampoco se aprende lo suficiente. Para cualquiera que esta considerando entre ambas catedras, mi recomendacion es clara: vayan con Veiga.","Utilizan Adobe Connect para la cursada virtual.

Los profesores habilitan los microfonos de algunos alumnos solo cuando lo consideran necesario. Esto elimina cualquier posibilidad de debate entre grupos para intercambiar informacion sobre problemas comunes encontrados y sus posibles soluciones.

Tambien utilizan un pop-up para ""asegurarse de que los alumnos esten presentes y prestando atencion"". Este pop-up aparece durante distintos puntos de la clase, y si el alumno lo completa ""significa que esta presente"". El problema es que lo habilitan por unos pocos segundos, y a veces no se llega a completar a pesar de ""estar presente"".
Afortunadamente este sistema lo habilitaron solo durante el ultimo mes de cursada, y ojala que para el proximo se deshagan del sistema por completo para no perjudicar a los alumnos con mala conexion a internet, o que tengan problemas tecnicos relacionados a la plataforma."
8/26/2020 18:36:45,Organizacion del Computador - Moreno,Muy Bueno,Si,Interesantes,Si,Buenas,Excelentes,Dificil,Dificil,"Es un curso dificil, lleva muchisimo mas tiempo de lo habitual y casi que es la unica materia que puede hacerse. Me parece excesivo","Ser mas consistentes en las clases, hubieron muchas que no se hicieron y ni avisaron que no ibamos a tener clase."
8/26/2020 18:37:27,Analisis Numerico/Metodos Matematicos y Numericos - Rodriguez,Malo,No,Nada Interesantes,Si,Malas,Regulares,Dificil,Normal,,
8/26/2020 18:38:24,Analisis Numerico/Metodos Matematicos y Numericos - Rodriguez,Muy Bueno,Si,Interesantes,Si,Buenas,Muy Buenas,Normal,Muy dificil,El trabajo practico fue el tp mas dificil que me toco hacer en la vida. ,Si se pueden corregir algunas diapositivas y/o ejercicios resueltos que contienen errores.
