Marca temporal,Curso,Opinión General Sobre el Curso,¿Aprobó la Cursada?,¿Cómo te Resultaron los Temas de la Materia?,¿Los Temas de la Materia Están Actualizados?,Nivel de las Clases Teóricas del Curso,Nivel de las Clases Prácticas del Curso,Dificultad del Curso,Dificultad del TP,Comentarios Sobre el Curso,¿Tenes algun comentario o sugerencia sobre la cursada virtual de este cuatrimestre?
8/26/2020 23:29:06,Teoria de la Programacion / Teoria del Lenguaje - Ferrigno,Muy Bueno,Si,Interesantes,Si,Muy Buenas,No Hay Clases Practicas,Normal,Dificil,,
8/26/2020 23:43:37,Taller de Programacion I - Veiga,Excelente,Si,Muy Interesantes,Si,Excelentes,Muy Buenas,Dificil,Muy dificil,"Gran materia, los tps llevan mucho tiempo pero se aprende muchisimo. La excelente predisposicion de los ayudantes hace que sea todo mas simple y llevadero.","Se acoplo perfectamente a la cursada virtual, nada que reprochar."
8/26/2020 23:44:48,Implantacion de Sistemas / Org de la Implantacion y el Mantenimiento - Bettini,Regular,Si,Poco Interesantes,Si,Regulares,Buenas,Facil,No hay TP,,
8/26/2020 23:46:42,Teoria de la Programacion / Teoria del Lenguaje - Ferrigno,Bueno,Si,Interesantes,Si,Buenas,Buenas,Facil,Normal,,Considero que se adapto bastante bien a la cursada virtual. Creo que la opcion de realizar videos para el tp final fue correcta.
8/26/2020 23:46:50,Lenguajes de Formales - Corsi,Bueno,Si,Interesantes,Si,Muy Buenas,Buenas,Normal,Normal,,
8/26/2020 23:49:18,Sistemas Operativos - Mendez,Muy Bueno,Si,Interesantes,Si,Muy Buenas,Buenas,Normal,Dificil,"Es una materia que se aprende a fondo como funcionan los sistemas operativos basados en Linux. Mi principal critica es hacia los tps, suelen ser bastante complicados de entender y hacer.",Se adapto muy bien a la cursada virtual.
8/26/2020 23:49:41,Algoritmos y Programacion I (Informatica) - Essaya,Excelente,Si,Muy Interesantes,Si,Excelentes,Muy Buenas,Normal,Normal,,
8/26/2020 23:49:44,Base de Datos - Servetto,Regular,Si,Interesantes,Si,No hay clases teoricas,No Hay Clases Practicas,Facil,Facil,"Tuvimos una sola clase online, pero al profesor se le escuchaba todo entre cortado, a mi me da a suponer que no realizo clases online debido, a que no tiene buen internet para poder soportar las clases. Los apuntes que subia al campus estaban buenos, tenias que leerlo varias veces para terminar de entenderlos. Disponia de un foro, donde podes realizar consultas. ","Me gustaria que se disponga de una clase online donde, por lo menos explique lo que esta en los PDF que sube."
8/26/2020 23:53:41,Algoritmos y Programacion I (Informatica) - Essaya,Excelente,Si,Muy Interesantes,Si,Excelentes,Buenas,Normal,Normal,,
8/27/2020 0:10:20,Analisis Numerico I/Metodos Matematicos y Numericos - Tarela,Muy Bueno,Si,Interesantes,Si,Muy Buenas,Muy Buenas,Dificil,Muy dificil,"Tanto las clases teoricas como las practicas son buenas, en las teoricas, aunque son grabadas, se invita a una continua participacion para seguir bien el hilo de la clase, y la practica es un buen complemento donde se terminan de entender correctamente los temas, se ven ejemplos y se pueden consultar dudas. Los trabajos practicos, abordan temas muy interesantes, pero su dificultad elevada produce que se generen muchas dudas, que no todas son tratadas con la medida que se necesita",
8/27/2020 0:15:01,Algoritmos y Programacion I (Electronica) - Essaya,Muy Bueno,Si,Interesantes,No,Excelentes,Regulares,Muy Dificil,Muy dificil,"Los tiempos de correccion eran muy desiguales de acuerdo con el corrector que tocase, mismo con los criterios de aprobacion (de los tps).  A veces las devoluciones eran poco constructivas y de mal modo.  ",
8/27/2020 0:16:25,Organizacion de Datos - Argerich,Regular,Si,Interesantes,Si,Regulares,Malas,Dificil,Normal,"Cosas Positivas: - La disponibilidad de las clases por youtube, - La utilizacion de Gradescope. Cosas Negativas: - La resolucion del TP2 es basicamente buscar en Internet y replicar las cosas en el set de datos, en ningun momento se explica como tratar de implementar toda la teoria vista durante la cursada - Las videollamadas eran una perdida de tiempo, entiendo la dificultad de hacerlas pero sinceramente no se contestaban las consultas que se hacian en el chat (Exceptuando a Joaquin, Gianmarco y Julian), se terminaba jugando a un juego que no aportaba nada y hacia perder el tiempo, - Los videos de clases eran poco claros y con errores, un ejercicio que podia haberse explicado en 5 minutos se tardaba 30 y no quedaba claro, - Sigue sin haber la preparacion suficiente para el parcial por promocion, sumado a que ya para ese momento se contestan las consultas por Piazza en oraciones (exceptuando nuevamente a Joaquin, Gianmarco,Julian y Esteban), - Las correcciones siguen siendo cualquier cosa y los enunciados nunca fueron claros, nunca se entiende lo que se pide y se pierde tiempo tratando de entender lo pedido, - El examen por promocion era extremadamente largo, me parece un abuso de la situacion de que estamos todos en nuestras casas pero no deberia ser asi. Quiero remarcar que el Coloquio de esta materia es literalmente imposible, viven en la fantasia de que el final es ""igual"" a las de otras materias pero no es asi, son cualquier cosa, las correcciones lo mismo y hay un ninguneo a los que llegan a esta instancia.","A pesar de todo, creo que se manejaron de muy buena manera"
8/27/2020 0:35:59,Algoritmos y Programacion II - Mendez,Muy Bueno,Si,Muy Interesantes,Si,Muy Buenas,Muy Buenas,Normal,Normal,Muy buena predisposicion docente y muy bien adaptados al contexto virtual l,Nada que se me ocurra
8/27/2020 0:40:35,Introduccion a los Sistemas Distribuidos  - Carisimo,Muy Bueno,Si,Muy Interesantes,Si,Muy Buenas,Muy Buenas,Normal,Dificil,,
8/27/2020 0:42:18,Taller de Programacion II - Calonico,Excelente,Si,Muy Interesantes,Si,Muy Buenas,Muy Buenas,Muy Dificil,Muy dificil,,
8/27/2020 0:45:36,Analisis de la Informacion / Metodos y Modelos de la Ing. del Software I - Villagra,Regular,Si,Muy Interesantes,Si,Regulares,Malas,Muy Dificil,Muy dificil,,
8/27/2020 0:49:33,Computacion - Cabrera,Bueno,Si,Interesantes,Si,Regulares,Muy Buenas,Dificil,Normal,,
8/27/2020 0:49:46,Taller de Programacion I - Veiga,Muy Bueno,Si,Muy Interesantes,Si,Muy Buenas,Muy Buenas,Muy Dificil,Muy dificil,,
8/27/2020 1:00:43,Algoritmos y Programacion I (Electronica) - Essaya,Excelente,Si,Muy Interesantes,Si,Excelentes,Excelentes,Dificil,Dificil,La mejor practica que tuve hasta ahora en la facultad. ,Mejoro considerablemente el hecho de ser online.
8/27/2020 1:06:29,Algoritmos y Programacion I - Mendez,Excelente,Si,Muy Interesantes,Si,Muy Buenas,Excelentes,Normal,Normal,"Excelente predisposicion tanto de los docentes titulares como los colaboradores. Metodo de enseñanza para seguir adelante, tienen una gran pasion por la docencia. ","Espero que salga el nuevo RPL para Algo2, sirvio mucho para Algo1 "
8/27/2020 1:12:58,Analisis Numerico/Metodos Matematicos y Numericos - Rodriguez,Muy Bueno,Si,Muy Interesantes,Si,Muy Buenas,Excelentes,Normal,Muy dificil,"La verdad que es un curso que te da todo lo necesario; no se como habra sido en cursada presencial, pero virtualmente tenes lo necesario. Clases teoricas grabadas, actividades interactivas grabadas, algunos ejercicios resueltos. Obvio, no es facil ni mucho menos no es una materia regalada como otras que escuche por ahi... Hay que laburar... 3 horas por dia maximo yo le metia a esta materia y aprobe cursada en tiempo y forma (falta final) pero tenes todo lo necesario. Tenes foro consultas y te responden con el mayor esfuerzo (eso se valora un monton y mas aun siguen respondiendo estando en fechas previas a examenes integradores). Jodio un poco que al paso del tiempo se iba a desorganizando el foro con tanto threads, pero empatia.. situacion extraordinaria de pandemia mundial... aprender Moodle desde casi 0 NO ES facil, por esa parte los aplaudo que lograron adaptarse lo mejor posible a la modalidad. Hubo unos disturbios con el TP de la materia, se perdio mucho tiempo debido a errores enunciados, pero para mi hubo algun error humano ahi, cosa que el ser todo virtual se les habra olvidado ese detalle. ","Como sugerencias... Agregaria/recomendaria lo siguiente: Subir las clases teoricas con mucho mas tiempo antes para que el alumno pueda llegar al meet con dudas. A lo sumo 3, 4 dias antes... A mi me pasaba que no tenia dudas por no terminar de escuchar/tomar apuntes de las teoricas grabadas. A lo sumo mas seudocodigo de ciertos algoritmos importantes que servirian a futuro para la carrera. Actividades interactivas en la unidad ultima de Optimizacion. Mas actividades practicas interactivas que integren varios temas. Usar mas seguido herramienta como meet para mostrar resolucion paso a paso de algun ejercicio muy importante o integrador el cual el alumno pueda seguir la resolucion ese ejercicio importante en vivo y si le saliese alguna duda, que sea ahi en meet via ese ejercicio. Ademas tambien se podria usar mas el meet para mostrar aspectos importantes de la teorica. "
8/27/2020 1:33:23,Metodos Matematicos y Numericos - Cavaliere,Bueno,Si,Interesantes,Si,Buenas,Buenas,Dificil,Dificil,,
8/27/2020 1:37:12,Sistemas Operativos - Mendez,Excelente,Si,Muy Interesantes,Si,Muy Buenas,Excelentes,Normal,Dificil,,
8/27/2020 1:48:26,Simulacion - Caiafa,Muy Bueno,Si,Interesantes,Si,Muy Buenas,Muy Buenas,Normal,Normal,Las clases quiza se hacian un poco largas pero estuvieron bien. Los docentes siempre estuvieron dispuestos a ayudar,
8/27/2020 1:48:28,Algoritmos y Programacion I - Mendez,Excelente,Si,Muy Interesantes,Si,Excelentes,Excelentes,Normal,Normal,"No se podrian haber adaptado de mejor manera a la cursada virtual. Excelente curso, se aprende muchisimo y en ningun momento se hace monotono tener clase o estudiar para esta materia, ya que tanto la tematica como la forma de enseñar de los profesores son muy buenas.",La verdad es que fue una cursada impecable. Fue la materia que mejor se adapto a la virtualidad.
8/27/2020 2:15:57,Organizacion de Datos - Argerich,Excelente,Si,Muy Interesantes,Si,Excelentes,Excelentes,Muy Dificil,Muy dificil,Excelente curso. Destacable la calidad del contenido y de los docentes. Excelente predisposicion. Admirable adaptacion al contexto.,
8/27/2020 2:23:26,Computacion - Cabrera,Regular,Si,Interesantes,Si,Malas,Regulares,Dificil,Dificil,,
8/27/2020 3:21:59,Computacion - Burin,Bueno,Si,Poco Interesantes,No,Buenas,Muy Buenas,Dificil,Dificil,se da prioridad a temas que no son tan importantes y poca relevancia a los temas importantes ,que haya coincidencia con el dictado de temas de un curso y otros
8/27/2020 3:29:09,Organizacion del Computador - Moreno,Regular,Si,Muy Interesantes,Si,Malas,Muy Buenas,Dificil,Normal,"En lo personal, las clases teoricas no me ayudaron, las practicas si.",
8/27/2020 3:30:47,Algoritmos y Programacion III - Suarez,Bueno,Si,Muy Interesantes,Si,Buenas,Buenas,Normal,Normal,"En lo personal, algunas clases practicas se me hacian un poco pesadas.",
8/27/2020 6:29:02,Algoritmos y Programacion II - Mendez,Excelente,No,Muy Interesantes,Si,Excelentes,Excelentes,Normal,Normal,,
8/27/2020 8:45:12,Algoritmos y Programacion I - Costa,Muy Bueno,Si,Muy Interesantes,Si,Muy Buenas,Excelentes,Normal,Normal,,
8/27/2020 9:08:20,Simulacion - Caiafa,Muy Bueno,Si,Poco Interesantes,Si,Buenas,Muy Buenas,Facil,Normal,"Los parciales y el tp son faciles dentro de todo. La cursada se hace un poco aburrida y las clases un poco largas, pero los profesores le ponen la mejor.",Bien implementada
8/27/2020 9:11:40,Teoria de la Programacion / Teoria del Lenguaje - Ferrigno,Bueno,Si,Interesantes,Si,Buenas,Buenas,Normal,Normal,,
8/27/2020 9:13:26,Introduccion a los Sistemas Inteligentes - Ochoa,Muy Bueno,Si,Interesantes,Si,Muy Buenas,Muy Buenas,Facil,Muy Facil,"Una materia facil, de poca cursada y con temas interesantes. El parcial es facil y los tps tambien, el unico problema es que son bastantes tps.","El parcial al hacerse multiple choice en 50 minutos, tenia demasiadas preguntas y en algunos casos se podia tener respuestas mal por minimos detalles o errores ortograficos (que no indican nada sobre si sabes los temas o no)."
8/27/2020 9:15:21,Organizacion de Datos - Argerich,Malo,Si,Poco Interesantes,No,Malas,Malas,Muy Dificil,Muy dificil,,
8/27/2020 9:15:54,Algoritmos y Programacion III - Suarez,Excelente,Si,Muy Interesantes,Si,Excelentes,Excelentes,Dificil,Dificil,,
8/27/2020 9:16:54,Teoria de la Programacion / Teoria del Lenguaje - Ferrigno,Regular,Si,Nada Interesantes,No,Regulares,Regulares,Normal,Normal,,
8/27/2020 9:25:41,Arquitectura de Software - Calonico,Excelente,Si,Muy Interesantes,Si,Excelentes,Excelentes,Normal,Normal,Muy buena predisposicion. Se explica muy bien y le ponen toda la onda,"Quizas se podrian grabar algunas cosas teoricas o practicas asi no tienen que ser las 4 horas prescenciales.  Tambien es cierto que el profe le puso demasiada onda y los alumnos casi nada jaja osea que tanto no nos podemos quejar, pero para aportar algo, sugiero grabar algunas partes de la clase"
8/27/2020 9:33:23,Algoritmos y Programacion II - Mendez,Excelente,Si,Interesantes,No,Excelentes,Excelentes,Dificil,Dificil,,
8/27/2020 9:35:13,Administracion y Control de Proyectos Informaticos II - Alvaro,Muy Bueno,Si,Interesantes,Si,Muy Buenas,Muy Buenas,Normal,Normal,,
8/27/2020 9:48:44,Computacion - Lage,Excelente,Si,Muy Interesantes,Si,Excelentes,Excelentes,Dificil,Dificil,,
8/27/2020 9:50:52,Computacion - Lage,Excelente,Si,Muy Interesantes,Si,Excelentes,Excelentes,Normal,Normal,Las clases se mi hicieron muy entretenidas y termine el curso con ganas de seguir aprendiendo por mi cuenta. Recomiendo mucho este curso. ,"Siento que se adapto excelente aunque me hubiera gustado tener mas organizada la informacion sobre fechas de parciales, tps, cronogramas etc."
8/27/2020 9:55:46,Simulacion - Caiafa,Muy Bueno,Si,Muy Interesantes,Si,Excelentes,Muy Buenas,Normal,Normal,,Excelente organizacion y adaptacion
8/27/2020 9:58:39,Analisis Numerico/Modelacion Numerica - Menendez,Bueno,Si,Muy Interesantes,Si,Regulares,Excelentes,Dificil,Dificil,,
8/27/2020 9:59:55,Proyectos Informaticos/Adm. y Control de Proyectos Informaticos I - Fontela,Muy Bueno,Si,Muy Interesantes,Si,Muy Buenas,Muy Buenas,Normal,Dificil,Muy buena dinamica y forma de aprendizaje/evaluacion,Rapida y muy buena adaptacion y organizacion. Estaria bueno quizas la clase teorica en vivo (y que se grabe tambien) para tener un poco mas de contacto con el docente.
8/27/2020 10:00:35,Analisis Numerico/Metodos Matematicos y Numericos - Rodriguez,Muy Bueno,Si,Poco Interesantes,Si,Muy Buenas,Muy Buenas,Normal,Dificil,Buena predisposicion de los docentes y una grata concordancia entre lo explicado y lo evaluado en el examen.,"En particular para este curso, creo que seria necesario un ayudante que pueda colaborar un poco mas con los docentes."
8/27/2020 10:01:50,Introduccion a los Sistemas Inteligentes - Ochoa,Bueno,Si,Poco Interesantes,No,Buenas,Buenas,Normal,Normal,,
8/27/2020 10:04:05,Computacion - Lage,Excelente,Si,Muy Interesantes,Si,Excelentes,Excelentes,Dificil,Dificil,,
8/27/2020 10:09:35,Analisis Numerico/Modelacion Numerica - Menendez,Excelente,Si,Muy Interesantes,Si,Excelentes,Excelentes,Dificil,Dificil,"Lograron resolver de una manera muy exitosa la cursada virtual, han generado un mix de teoricas disponibles todo el tiempo ,muy bueno para estos tiempos donde uno las puede ver en el momento que pueda la cantidad de veces que necesite y puede lograr una mejor comprension de algunos temas con bastante complejidad. Ademas ha sido satisfactorio el hecho de poder realizar problemas aplicados a la Ingenieria y algo que me sorprendio para bien es que se pudo visibilizar un analisis con datos de analisis reales el conflicto de la bajante del Rio Parana y se pudo modelar un problema ingenieril y resolverlo por distintos metodos.",Me parecio muy buena la experiencia llevada a cabo.
8/27/2020 10:14:08,Organizacion del Computador - Moreno,Muy Bueno,Si,Interesantes,Si,Muy Buenas,Muy Buenas,Normal,Normal,"Excelente curso, llevaron adelante la cursada muy bien a pesar de contexto y trataron de que podamos aprender todos los contenidos de la manera mas clara. La dificultad esta en el trabajo doble que tenemos que hacer nosotros para poder entender. Por suerte los profesores respondian consultas via mail y con clases de consultas y todas las clases estaban grabadas para poder volver a verlas que eso es clave sobre todo para los tps y ejercicios de parcial, ademas de que todos los temas tenian videos explicativos.",No
8/27/2020 10:16:15,Analisis Numerico/Modelacion Numerica - Menendez,Regular,Si,Poco Interesantes,Si,Regulares,Buenas,Normal,Muy dificil,,
8/27/2020 10:38:04,Algoritmos y Programacion I - Mendez,Excelente,Si,Interesantes,Si,Muy Buenas,Excelentes,Normal,Dificil,,
8/27/2020 10:38:18,Simulacion - Caiafa,Excelente,Si,Muy Interesantes,Si,Excelentes,Buenas,Normal,Normal,Perfecto las teoricas. Las practicas podrian ser algo mejores.,-
8/27/2020 10:54:30,Algoritmos y Programacion I (Electronica) - Essaya,Muy Bueno,Si,Muy Interesantes,Si,Muy Buenas,Muy Buenas,Normal,Dificil,"Muy buena adaptacion a esta modalidad virtual. Muy buena predisposicion de los profesores y ayudantes para acompañarnos a lo largo de la cursada. El discord de la materia fue muy util a la hora de tener problemas ya sea con ejercicios, tps, parcialitos y hasta problemas con el sistema operativo.","Se adaptaron perfectamente, y ninguna de las clases que tuvimos fue tediosa. Muy bien distribuidos los horarios de ambas partes (teorico y practico). Salvo 1 o 2 veces no pudimos tener bien la clase por un tema de conexion pero mas alla de eso todas las clases se dieron excelente."
8/27/2020 10:54:43,Tecnicas de Diseño/Metodos y Modelos de la Ing. del Software II  - Paez,Excelente,Si,Muy Interesantes,Si,Muy Buenas,Excelentes,Normal,Normal,Muy buena materia con docentes que tienen ganas de enseñar y mejorar continuamente.,Se adapto muy bien.
8/27/2020 10:57:34,Simulacion - Caiafa,Excelente,Si,Muy Interesantes,Si,Excelentes,Excelentes,Normal,Normal,Muy buena materia con contenidos muy interesentes para ver la programacion aplicada a otros temas.,Se adaptaron muy bien.
8/27/2020 10:58:26,Analisis Numerico/Modelacion Numerica - Menendez,Muy Bueno,Si,Muy Interesantes,Si,Muy Buenas,Muy Buenas,Dificil,Dificil,,
8/27/2020 11:10:27,Simulacion - Caiafa,Muy Bueno,Si,Interesantes,Si,Buenas,Muy Buenas,Normal,Normal,,
8/27/2020 11:20:07,Analisis Numerico I/Metodos Matematicos y Numericos - Tarela,Muy Bueno,Si,Interesantes,Si,Muy Buenas,Muy Buenas,Normal,Dificil,"El segundo tp se hizo un tanto dificil ya que hubo muchas cosas que resulto dificil entender. Por ejemplo, en mi opinion en cuanto al analisis de consistencia faltaron agunos ejemplos. Tampoco habia quedado claro que parametros se podia variar para realizar la calibracion. Mas alla de eso considero que para el estudio siempre hubo materia disponible (ya sea pdfs, clases grabadas, etc) y que se cubrieron la mayoria de temas con ejemplos que sirven a la hora de estudiar. Las clases fueron organizadas, lo cual se valora mucho y el hecho de que los TPs sean aplicados sobre algun tema de la realidad hace que sea mas facil engancharse. ","Me parecio muy util la cantidad de material que teniamos a disposicion. Seria util tambien poner algo de bibliografia, como algun libro que hable de los temas."
8/27/2020 11:20:19,Taller de Programacion I - Veiga,Excelente,Si,Interesantes,Si,Excelentes,Muy Buenas,Normal,Dificil,,
8/27/2020 11:25:58,Taller de Programacion I - Veiga,Excelente,Si,Muy Interesantes,Si,Excelentes,No Hay Clases Practicas,Dificil,Dificil,,
8/27/2020 11:37:16,Taller de Programacion I - Veiga,Excelente,Si,Interesantes,Si,Muy Buenas,Muy Buenas,Dificil,Muy dificil,,Se adapto bien
8/27/2020 11:39:37,Seminario de Ingenieria Informatica / Desarrollo Con Nuevas Tecnologias - Cosso,Muy Bueno,Si,Muy Interesantes,Si,Muy Buenas,Muy Buenas,Normal,Normal,El curso es muy interesante. Para mi es como el paso siguiente natural despues de aprobar Algoritmos III. En donde se le vuelve a dar una vuelta de tuerca a todo lo aprendido incorporando nuevos conceptos y reforzando la importancia de un rico modelo de dominio. Hoy en dia la materia literalmente permite bastante trabajar con nuevas tecnologias al hacer el backend con grails y tener la posibilidad de elegir hacer el frontend tanto en Vue.js como en React o Angular por ejemplo.,"Muy buena la incorporacion del campus con los contenidos teoricos en PDF! Falto mejorar el tema de que los alumnos pudieramos iniciar una pregunta (abrir un hilo creo que es) sin depender del docente en el campus. El ""next step"" ideal seria que ya haya mini-videos grabados en youtube con ejemplos genericos de las implementaciones de controllers, services, entities en grails."
8/27/2020 11:55:26,Analisis Numerico/Modelacion Numerica - Menendez,Muy Bueno,Si,Interesantes,Si,Muy Buenas,Muy Buenas,Dificil,Muy dificil,"Para los que somos de la rama de civiles es muy dificil aprender a programar en tan poco tiempo, pero entiendo que no es un problema del curso sino de como esta pensado el plan de la carrera. Insume demasiado tiempo entender como funciona la sintaxis para poder aplicarlo a cada uno de los tps.  ","No, todo perfecto"
8/27/2020 12:07:51,Algoritmos y Programacion II - Mendez,Excelente,Si,Muy Interesantes,Si,Excelentes,Excelentes,Normal,Normal,,
8/27/2020 12:13:45,Computacion - Cabrera,Bueno,Si,Interesantes,Si,Muy Buenas,Buenas,Normal,Normal,,
8/27/2020 12:21:17,Analisis Numerico I/Metodos Matematicos y Numericos - Schwarz,Bueno,Si,Interesantes,Si,Malas,Muy Buenas,Normal,Muy dificil,,
8/27/2020 12:25:05,Computacion - Strobino,Muy Bueno,No,Interesantes,Si,Excelentes,Buenas,Dificil,Dificil,Uno muchos problemas de conexion ,Clases de Apollo fuera de horario
8/27/2020 12:29:06,Analisis Numerico I/Metodos Matematicos y Numericos - Schwarz,Malo,Si,Poco Interesantes,No,Malas,Regulares,Muy Dificil,Muy dificil,,En este cuatrimestre no se respeto en absoluto las elecciones que hicieron al principio los alumnos condicionales. Fue una desorganizacion total. Espero que puedan mejorar eso.
8/27/2020 12:35:52,Teoria de la Programacion / Teoria del Lenguaje - Ferrigno,Excelente,Si,Muy Interesantes,Si,Muy Buenas,Muy Buenas,Normal,Facil,"Cursada muy llevadera y tranquila, cada uno le puede sacar un provecho distinto a la materia.
Excelente predisposicion y trato de los profesores.","Que los ejercicios practicos complicados esten resueltos con anterioridad, para no perder demasiado tiempo haciendolos en vivo."
8/27/2020 12:37:24,Computacion - Strobino,Bueno,Si,Interesantes,Si,Buenas,Buenas,Dificil,Dificil,Todo bien. Aun estamos esperando saber las fechas de finales.,Que se de aviso con mas tiempo sobre fechas de parciales y tps estaria muy bueno.
8/27/2020 12:43:51,Analisis Numerico/Modelacion Numerica - Menendez,Bueno,Si,Interesantes,Si,Regulares,Buenas,Normal,Dificil,,
8/27/2020 12:44:16,Computacion - Arriazu,Muy Bueno,Si,Interesantes,Si,Muy Buenas,No Hay Clases Practicas,Normal,Dificil,"La profesora nos subia la teoria en pdf escritos por ella y la verdad que me sirvieron muchisimo, estaban super claros y relativamente faciles de entender. Se nota que puso mucho esfuerzo haciendolos y fueron muy buenos. Tambien me parecio muy util que suban las resoluciones de los tps.","Me hubiera gustado que al principio nos hayan mostrado como usar los basicos de Python (compartiendo pantalla por ejemplo) ya que como nunca lo habia usado me costo empezar a familiarizarme con el programa al principio, tuve que recurrir a videos en internet, etc."
8/27/2020 12:46:18,Taller de Programacion I - Veiga,Muy Bueno,Si,Muy Interesantes,Si,Muy Buenas,Muy Buenas,Dificil,Dificil,"Siento que tomar examen final en una materia tan practica como Taller, en la que hicimos un trabajo practico final integrador de casi 2 meses es innecesario. El curso en general es muy bueno, se aprenden muchas cosas nuevas e interesantes.","No, se manejo muy bien! De mucha utilidad tener las clases grabadas para repasar conceptos."
8/27/2020 12:55:58,Algoritmos y Programacion I (Informatica) - Essaya,Muy Bueno,Si,Muy Interesantes,Si,Excelentes,Muy Buenas,Normal,Dificil,"Se organizaron muy bien en la virtualidad, no hubo ninguna complicacion como las hubo en otras materias","No, estuvo bien asi"
8/27/2020 12:57:09,Computacion - Arriazu,Muy Bueno,Si,Interesantes,Si,Muy Buenas,Muy Buenas,Normal,Normal,,
8/27/2020 13:02:29,Teoria de la Programacion / Teoria del Lenguaje - Ferrigno,Excelente,Si,Muy Interesantes,Si,Excelentes,Excelentes,Normal,Normal,Agradezco la predisposicion de los profes al explicar de forma online y en vivo los temas de la materia.,
8/27/2020 13:02:50,Introduccion a los Sistemas Distribuidos  - Carisimo,Muy Bueno,Si,Muy Interesantes,Si,Excelentes,Muy Buenas,Normal,Dificil,Una materia muy interesante para seguir en cada clase.,"Una mejora para el proximo cuatrimestre ""virtual"" seria tener un calendario tentativo de los hitos mas importantes de la cursada tomando como experiencia lo ocurrido durante el 1C2020."
8/27/2020 13:05:23,Proyectos Informaticos/Adm. y Control de Proyectos Informaticos I - Fontela,Muy Bueno,Si,Muy Interesantes,Si,Muy Buenas,Muy Buenas,Normal,Normal,,
8/27/2020 13:07:30,Computacion - Strobino,Muy Bueno,Si,Muy Interesantes,Si,Muy Buenas,Buenas,Facil,Muy Facil,"La materia me parecia muy densa hasta llegar a la segunda parte, disfrute mucho Python!",
8/27/2020 13:14:44,Proyectos Informaticos/Adm. y Control de Proyectos Informaticos I - Fontela,Muy Bueno,Si,Interesantes,Si,Excelentes,Muy Buenas,Dificil,Normal,,
8/27/2020 13:15:10,Proyectos Informaticos/Adm. y Control de Proyectos Informaticos I - Fontela,Excelente,Si,Muy Interesantes,Si,Excelentes,Buenas,Normal,Normal,"Muy buen docente Carlos Fontela, temas actualizados e interesantes y el TP acompaña los temas de la materia",Un poco mas de interes de los docentes de la practica en el TP
8/27/2020 13:15:48,Taller de Programacion II - Calonico,Bueno,Si,Interesantes,Si,Regulares,Buenas,Normal,Muy dificil,,
8/27/2020 13:17:04,Tecnicas de Programacion Concurrente I - Garibaldi,Regular,Si,Interesantes,Si,Regulares,Buenas,Muy Dificil,Normal,Material brindado poco claro y pobre,"Muchas vueltas para tomar el final, requerimientos innecesarios"
8/27/2020 13:17:19,Tecnicas de Programacion Concurrente I - Garibaldi,Muy Bueno,Si,Muy Interesantes,Si,Excelentes,Buenas,Normal,Dificil,,
8/27/2020 13:18:36,Tecnicas de Diseño/Metodos y Modelos de la Ing. del Software II  - Paez,Malo,Si,Interesantes,Si,Malas,Buenas,Dificil,Muy dificil,Considero que el docente de la teorica tiene ciertas actitudes que desalientan la participacion de los alumnxs. Hubo ocasiones durante la cursada que se humillo a alumnxs por no saber o contestar mal algo. Al comienzo de la cursada se realizaban correcciones de TPs en vivo mostrando de una manera un poco agresiva (casi en tono de burla) los errores de alumnxs. Rescato que el profesor se disculpo y cambio la modalidad luego de que varios alumnxs mencionaron que no les gusto.,Creo que se adaptaron muy bien a la modalidad de cursada virtual.
8/27/2020 13:19:54,Proyectos Informaticos/Adm. y Control de Proyectos Informaticos I - Fontela,Muy Bueno,Si,Muy Interesantes,Si,Muy Buenas,Buenas,Dificil,Normal,Los temas de la materia son muy interesantes. Son temas que se pueden aplicar en el ambito profesional. La materia genera tambien varias inquietudes sobre ciertos temas que resultan interesantes como para seguir profundizando.,La materia se adapto muy bien a la virtualidad. No hubo ningun problema.
8/27/2020 13:25:12,Algoritmos y Programacion I (Electronica) - Essaya,Excelente,Si,Interesantes,Si,Excelentes,Excelentes,Normal,Normal,"La combinacion essaya-santisi es lo que esa catedra necesitaba. Excelente.  Poray se nota que es una catedra nueva"""" y que si bien se llevan bien, faltaria un poco mas de relacion entre essaya y santisi tipo para ir mas en sintonia. Da la sensacion que se tratan lo justo y necesario.
Igual de 10. Si se afianza esa confianza entre profesor de practica y teorica la rompen!",
8/27/2020 13:35:15,Computacion - Arriazu,Bueno,Si,Interesantes,Si,Buenas,Buenas,Normal,Normal,,
8/27/2020 13:35:24,Computacion - Arriazu,Excelente,Si,Muy Interesantes,Si,Excelentes,Muy Buenas,Normal,Normal,"Muy buena profesora. Podria ser un poco mas exigente, de todos modos se aprenden los temas. ","El campus podria ser un poco mas organizado, por ejemplo, subdividir la pagina principal con los distintos temas de las practicas"
8/27/2020 13:35:57,Computacion - Arriazu,Excelente,Si,Interesantes,Si,Muy Buenas,Muy Buenas,Normal,Normal,"Buena predisposicion y mucho contenido, tanto en clases como fuera de ellas (en el campus).",
